id,time,time_received,latitude,longitude,altitude,geo_altitude,height,velocity_x,velocity_y,velocity_z,vertical_accuracy,horizontal_accuracy,speed_accuracy,pressure
8115268,2023-04-03 09:01:36+00,2023-04-03 09:01:36.633288+00,50.03199768066406,14.417431831359863,104.64,252.5,-19.57,-23.6,-4,-0.2,4,11,4,1000.7437500000001
8115269,2023-04-03 09:01:37+00,2023-04-03 09:01:37.633598+00,50.03196334838867,14.41710376739502,105.64,252.5,-18.57,-23.400000000000002,-4,-0.2,4,11,4,1000.625
8115270,2023-04-03 09:01:38+00,2023-04-03 09:01:38.88155+00,50.031925201416016,14.416779518127441,102.8,252.5,-21.41,-23.200000000000003,-3.8000000000000003,-0.2,4,11,4,1000.9625000000001
8115271,2023-04-03 09:01:39+00,2023-04-03 09:01:39.520665+00,50.031890869140625,14.416457176208496,103.49,252,-20.72,-23,-3.8000000000000003,-0.2,4,11,4,1000.88125
8115272,2023-04-03 09:01:40+00,2023-04-03 09:01:43.422489+00,50.0318603515625,14.416139602661133,100.65,251.5,-23.56,-22.8,-3.6,-0.2,4,11,4,1001.21875
8115273,2023-04-03 09:01:41+00,2023-04-03 09:01:43.483491+00,50.031822204589844,14.415823936462402,100.7,251,-23.51,-22.400000000000002,-3.6,-0.4,4,11,4,1001.2125000000001
8115274,2023-04-03 09:01:42+00,2023-04-03 09:01:43.520094+00,50.031795501708984,14.41551399230957,100.49,250.5,-23.72,-22,-3.4000000000000004,-0.4,4,11,4,1001.2375000000001
8115275,2023-04-03 09:01:43+00,2023-04-03 09:01:43.56599+00,50.03176498413086,14.415212631225586,97.24,250,-26.97,-21.6,-3.2,-0.4,4,11,4,1001.625
8115276,2023-04-03 09:01:44+00,2023-04-03 09:01:44.332617+00,50.031742095947266,14.414913177490234,98.02,249.5,-26.19,-21.200000000000003,-2.6,-0.4,4,11,4,1001.53125
8115277,2023-04-03 09:01:45+00,2023-04-03 09:01:48.568468+00,50.03172302246094,14.414615631103516,97.08,249,-27.13,-21.200000000000003,-1.6,-0.4,4,11,4,1001.6437500000001
