id,time,time_received,battery,cellid,rsrp,rsrq,snr,tac,satellites,charging,flight_id
809767,2023-04-03 09:00:05+00,2023-04-03 09:11:34.601476+00,4.002999782562256,1F6D1200,-83,-19,1,BCAC,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809768,2023-04-03 09:00:21+00,2023-04-03 09:11:34.604301+00,4.005000114440918,206D1200,-74,-5,17,BCAC,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809769,2023-04-03 09:00:31+00,2023-04-03 09:11:34.607126+00,3.9670000076293945,206D1200,-91,-11,8,BCAC,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809770,2023-04-03 09:00:46+00,2023-04-03 09:11:34.609769+00,4.035999774932861,206D1200,-93,-19,-1,BCAC,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809771,2023-04-03 09:01:01+00,2023-04-03 09:11:34.612271+00,4.035999774932861,1F010D00,-61,-7,24,BC48,18,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809772,2023-04-03 09:01:16+00,2023-04-03 09:11:34.615596+00,4.0229997634887695,1F010D00,-68,-11,15,BC48,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809773,2023-04-03 09:01:31+00,2023-04-03 09:11:34.618433+00,4.0329999923706055,21010D00,-75,-4,20,BC48,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809774,2023-04-03 09:01:46+00,2023-04-03 09:11:34.621156+00,4.0229997634887695,21010D00,-88,-10,11,BC48,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809775,2023-04-03 09:02:01+00,2023-04-03 09:11:34.6238+00,4.019000053405762,21010D00,-96,-13,4,BC48,18,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809776,2023-04-03 09:02:16+00,2023-04-03 09:11:34.626448+00,4.0229997634887695,21010D00,-95,-10,4,BC48,18,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809777,2023-04-03 09:02:31+00,2023-04-03 09:11:34.629125+00,4.014999866485596,21010D00,-108,-19,-6,BC48,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809778,2023-04-03 09:02:46+00,2023-04-03 09:11:34.631829+00,4.00600004196167,21030D00,-98,-15,-2,BC48,20,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809779,2023-04-03 09:03:01+00,2023-04-03 09:11:34.634617+00,4.006999969482422,205C0A00,-79,-6,16,BC48,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809780,2023-04-03 09:03:17+00,2023-04-03 09:11:34.637285+00,4.019999980926514,205C0A00,-74,-5,13,BC48,20,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809781,2023-04-03 09:03:32+00,2023-04-03 09:11:34.640121+00,4.004000186920166,205C0A00,-83,-6,7,BC48,20,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809782,2023-04-03 09:03:47+00,2023-04-03 09:11:34.642695+00,4,205C0A00,-116,-15,1,BC48,9,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809783,2023-04-03 09:04:02+00,2023-04-03 09:11:34.648174+00,3.990000009536743,205C0A00,-93,-16,-2,BC48,15,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809784,2023-04-03 09:04:17+00,2023-04-03 09:11:34.652186+00,3.9820001125335693,21000B00,-73,-5,16,BC48,18,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809785,2023-04-03 09:04:32+00,2023-04-03 09:11:34.655144+00,4.01200008392334,21000B00,-73,-8,16,BC48,20,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809786,2023-04-03 09:04:47+00,2023-04-03 09:11:34.658004+00,4.015999794006348,21000B00,-89,-13,4,BC48,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809787,2023-04-03 09:05:02+00,2023-04-03 09:11:34.662911+00,4.013999938964844,20040B00,-77,-4,17,C15E,19,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809788,2023-04-03 09:05:17+00,2023-04-03 09:11:34.666259+00,4.008999824523926,20040B00,-105,-5,14,C15E,0,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809789,2023-04-03 09:05:32+00,2023-04-03 09:11:34.668976+00,4.011000156402588,20040B00,-112,-7,8,C15E,0,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
809790,2023-04-03 09:05:48+00,2023-04-03 09:11:34.672038+00,4.008999824523926,20040B00,-123,-11,5,C15E,0,FALSE,a1adff95-ae84-4ce7-b196-6e1bef5d69de
